SOLVER_HANDLE,PROBLEM_ID,TITLE_NM,TAGS_NM,SOLVED_LVL,HASH_ID
siasia212,10814,나이순 정렬,sorting set,6,10814
siasia212,10815,숫자 카드,ds sorting binary_search set hashset,6,10815
siasia212,10816,숫자 카드 2,ds sorting binary_search hashset,7,10816
siasia212,10817,세 수,impl sorting,2,10817
siasia212,10818,"최소, 최대",math impl,3,10818
siasia212,10824,네 수,math impl string arithmetic,3,10824
siasia212,10826,피보나치 수 4,dp arbitrary_precision_/_big_integers,6,10826
siasia212,10827,a^b,arbitrary_precision_/_big_integers,11,10827
siasia212,10828,스택,impl ds stack,7,10828
siasia212,10830,행렬 제곱,math d&c exponentiation_by_squaring linear_algebra,12,10830
siasia212,10833,사과,math arithmetic,3,10833
siasia212,10844,쉬운 계단 수,dp,10,10844
siasia212,10845,큐,ds queue,7,10845
siasia212,10866,덱,impl ds deque,7,10866
siasia212,10869,사칙연산,impl arithmetic math,1,10869
siasia212,10870,피보나치 수 5,math impl,4,10870
siasia212,10871,X보다 작은 수,impl,1,10871
siasia212,10872,팩토리얼,math impl,3,10872
siasia212,10886,0 = not cute / 1 = cute,math impl arithmetic,3,10886
siasia212,10926,??!,impl,1,10926
siasia212,10942,팰린드롬?,dp,12,10942
siasia212,10950,A+B - 3,impl arithmetic math,1,10950
siasia212,10951,A+B - 4,impl arithmetic math,1,10951
siasia212,10952,A+B - 5,impl arithmetic math,1,10952
siasia212,10953,A+B - 6,math string arithmetic parsing,3,10953
siasia212,10984,내 학점을 구해줘,math impl arithmetic,3,10984
siasia212,10986,나머지 합,math prefix_sum,13,10986
siasia212,10987,모음의 개수,impl string,2,10987
siasia212,10988,팰린드롬인지 확인하기,impl string,3,10988
siasia212,10989,수 정렬하기 3,sorting,5,10989
siasia212,10990,별 찍기 - 15,impl,3,10990
siasia212,10991,별 찍기 - 16,impl,3,10991
siasia212,10992,별 찍기 - 17,impl,3,10992
siasia212,10995,별 찍기 - 20,impl,3,10995
siasia212,10998,A×B,impl arithmetic math,1,10998
siasia212,11004,K번째 수,sorting,6,11004
siasia212,11005,진법 변환 2,math impl,5,11005
siasia212,11006,남욱이의 닭장,math arithmetic,3,11006
siasia212,11021,A+B - 7,impl arithmetic math,1,11021
siasia212,11022,A+B - 8,impl arithmetic math,1,11022
siasia212,11023,더하기 3,math impl arithmetic,3,11023
siasia212,11024,더하기 4,math arithmetic,3,11024
siasia212,11047,동전 0,greedy,7,11047
siasia212,11050,이항 계수 1,math impl combinatorics,5,11050
siasia212,11053,가장 긴 증가하는 부분 수열,dp lis,9,11053
siasia212,11054,가장 긴 바이토닉 부분 수열,dp,12,11054
siasia212,11121,Communication Channels,impl string,2,11121
siasia212,11123,양 한마리... 양 두마리...,graph traversal bfs dfs grid_graph ff,9,11123
siasia212,11170,0의 개수,math impl bruteforce,5,11170
siasia212,11257,IT Passport Examination,math impl arithmetic,2,11257
siasia212,11279,최대 힙,ds priority_queue,9,11279
siasia212,11282,한글,impl,2,11282
siasia212,11283,한글 2,impl string,2,11283
siasia212,11286,절댓값 힙,ds priority_queue,10,11286
siasia212,11292,키 큰 사람,impl sorting,6,11292
siasia212,11365,!밀비 급일,impl string,2,11365
siasia212,11382,꼬마 정민,impl arithmetic math,1,11382
siasia212,11399,ATM,greedy sorting,7,11399
siasia212,11401,이항 계수 3,math number_theory combinatorics exponentiation_by_squaring modular_multiplicative_inverse fermat's_little_thm,15,11401
siasia212,11402,이항 계수 4,math dp number_theory combinatorics lucas_thm,17,11402
siasia212,11403,경로 찾기,graph traversal shortest_path floyd–warshall,10,11403
siasia212,11444,피보나치 수 6,math exponentiation_by_squaring,14,11444
siasia212,11478,서로 다른 부분 문자열의 개수,ds string set hashset treeset,8,11478
siasia212,11549,Identifying tea,impl,2,11549
siasia212,11568,민균이의 계략,dp lis,9,11568
siasia212,11576,Base Conversion,math impl number_theory,6,11576
siasia212,11650,좌표 정렬하기,sorting,6,11650
siasia212,11651,좌표 정렬하기 2,sorting,6,11651
siasia212,11653,소인수분해,math number_theory primality_test prime_factorization,5,11653
siasia212,11654,아스키 코드,impl,1,11654
siasia212,11659,구간 합 구하기 4,prefix_sum,8,11659
siasia212,11660,구간 합 구하기 5,dp prefix_sum,10,11660
siasia212,11689,"GCD(n, k) = 1",math number_theory euler_phi_function,15,11689
siasia212,11694,님 게임,game_theory sprague–grundy_thm,19,11694
siasia212,11695,표 게임,game_theory sprague–grundy_thm,17,11695
siasia212,11718,그대로 출력하기,impl string,3,11718
siasia212,11719,그대로 출력하기 2,impl string,3,11719
siasia212,11720,숫자의 합,impl math string,2,11720
siasia212,11721,열 개씩 끊어 출력하기,string impl,3,11721
siasia212,11722,가장 긴 감소하는 부분 수열,dp,9,11722
siasia212,11723,집합,impl set bitmask,6,11723
siasia212,11724,연결 요소의 개수,graph traversal bfs dfs,9,11724
