SOLVER_HANDLE,PROBLEM_ID,TITLE_NM,TAGS_NM,SOLVED_LVL,HASH_ID
evenharder,1199,오일러 회로,graph traversal set dfs eulerian path,17,1199
evenharder,1201,NMK,greedy constructive,18,1201
evenharder,1205,등수 구하기,impl,7,1205
evenharder,1212,8진수 2진수,math impl string,4,1212
evenharder,1213,팰린드롬 만들기,impl greedy string parity,8,1213
evenharder,1214,쿨한 물건 구매,math bruteforce number theory,16,1214
evenharder,1226,국회,dp greedy sorting knapsack traceback,17,1226
evenharder,1238,파티,graph shortest path dijkstra's,13,1238
evenharder,1253,좋다,ds sorting binary search two-pointer,12,1253
evenharder,1254,팰린드롬 만들기,string bruteforce,9,1254
evenharder,1257,엄청난 부자,math graph greedy shortest path dijkstra's 0-1 bfs,21,1257
evenharder,1259,팰린드롬수,impl string,5,1259
evenharder,1260,DFS와 BFS,graph traversal bfs dfs,9,1260
evenharder,1261,알고스팟,graph traversal shortest path dijkstra's grid graph 0-1 bfs,12,1261
evenharder,1264,모음의 개수,impl string,2,1264
evenharder,1271,엄청난 부자2,math arithmetic arbitrary precision / big integers,1,1271
evenharder,1275,커피숍2,segtree ds,15,1275
evenharder,1276,PLATFORME,impl sorting,10,1276
evenharder,1278,연극,math bitmask recursion,13,1278
evenharder,1289,트리의 가중치,math dp tree tree dp,18,1289
evenharder,1292,쉽게 푸는 문제,math impl,5,1292
evenharder,1294,문자열 장식,ds greedy string sorting priority queue,18,1294
evenharder,1297,TV 크기,pythagoras thm geom,4,1297
evenharder,1298,노트북의 주인을 찾아서,bipartite matching,17,1298
evenharder,1300,K번째 수,binary search parametric search,15,1300
evenharder,1301,비즈 공예,dp,14,1301
evenharder,1302,베스트셀러,ds string sorting set hashset,7,1302
evenharder,1305,광고,string kmp,17,1305
evenharder,1309,동물원,dp,10,1309
evenharder,1316,그룹 단어 체커,impl string,6,1316
evenharder,1330,두 수 비교하기,impl,1,1330
evenharder,1339,단어 수학,greedy,12,1339
evenharder,1340,연도 진행바,impl string parsing,6,1340
evenharder,1351,무한 수열,dp ds set hashset,11,1351
evenharder,1354,무한 수열 2,dp ds set hashset,11,1354
evenharder,1357,뒤집힌 덧셈,impl string,4,1357
evenharder,1373,2진수 8진수,math string,5,1373
evenharder,1376,민식우선탐색,graph ds traversal segtree binary search dfs,19,1376
evenharder,1377,버블 소트,sorting,14,1377
evenharder,1389,케빈 베이컨의 6단계 법칙,graph traversal bfs shortest path floyd–warshall,10,1389
evenharder,1395,스위치,ds segtree lazyprop,18,1395
evenharder,1396,크루스칼의 공,graph ds tree binary search dsu mst lca pbs,20,1396
evenharder,1402,아무래도이문제는A번난이도인것같다,math ad-hoc constructive,6,1402
evenharder,1406,에디터,ds stack ll,9,1406
evenharder,1410,패턴의 개수,bitmask combinatorics dp bitfield dp inclusion and exclusion math,17,1410
evenharder,1413,박스 안의 열쇠,math dp combinatorics,16,1413
evenharder,1417,국회의원 선거,impl ds greedy simulation priority queue,6,1417
evenharder,1420,학교 가지마!,graph flow grid graph mfmc,19,1420
evenharder,1421,나무꾼 이다솜,impl bruteforce,10,1421
evenharder,1427,소트인사이드,string sorting,6,1427
evenharder,1436,영화감독 숌,bruteforce,6,1436
evenharder,1437,수 분해,math greedy,12,1437
evenharder,1456,거의 소수,math number theory primality test eratosthenes,11,1456
evenharder,1463,1로 만들기,dp,8,1463
evenharder,1475,방 번호,impl,6,1475
evenharder,1476,날짜 계산,math bruteforce number theory,6,1476
evenharder,1495,기타리스트,dp,10,1495
evenharder,1504,특정한 최단 경로,graph shortest path dijkstra's,12,1504
evenharder,1509,팰린드롬 분할,dp,15,1509
evenharder,1514,자물쇠,dp graph shortest path,18,1514
evenharder,1517,버블 소트,ds sorting segtree d&c,16,1517
evenharder,1520,내리막 길,dp graph traversal dfs,13,1520
evenharder,1525,퍼즐,graph ds traversal set bfs hashset,14,1525
evenharder,1535,안녕,dp bruteforce knapsack,9,1535
evenharder,1541,잃어버린 괄호,math greedy string parsing,9,1541
evenharder,1546,평균,math arithmetic,5,1546
evenharder,1550,16진수,math impl,4,1550
evenharder,1557,제곱 ㄴㄴ,math number theory binary search inclusion and exclusion,21,1557
evenharder,1561,놀이 공원,binary search parametric search,15,1561
evenharder,1562,계단 수,dp bitmask bitfield dp,15,1562
evenharder,1563,개근상,dp,12,1563
evenharder,1569,정사각형으로 가리기,case work geom impl,10,1569
evenharder,1573,트리 인코딩,dp recursion,18,1573
evenharder,1585,경찰,graph flow mcmf,18,1585
evenharder,1605,반복 부분문자열,string hash suffix array and lcp array rabin–karp,18,1605
evenharder,1615,교차개수세기,ds sorting segtree,16,1615
evenharder,1620,나는야 포켓몬 마스터 이다솜,ds set hashset,7,1620
evenharder,1627,결투,game theory sprague–grundy thm,20,1627
evenharder,1629,곱셈,math exponentiation by squaring,10,1629
evenharder,1644,소수의 연속합,math number theory two-pointer primality test eratosthenes,13,1644
evenharder,1648,격자판 채우기,dp bitmask bitfield dp,18,1648
evenharder,1652,누울 자리를 찾아라,impl string,6,1652
